Operation_Category;Operation_Main_Category;Operation_Sub_Category;Service_Deliverable;Used_Today;Implementation_Next_12_Months;Environment;KPI_Name;KPI_Target_Description;KPI_Target;KPI_Measurement_Period;KPI_Category_WHY;Exceptions;KPI_Implementation_Complexity;KPI_Implementation;KPI_Blockers;Priority_Phase_Implementation;Operational_Task;Operational_Task_Amount;OprTask_Frequency;PreReq_Operational_Task;KPI_Name_ShortName;KPI_Name_Prefix;KPI_Number
Identity - Legacy;Identity;Legacy;Active Directory (IT);Yes;Exist Already;IT;KPI-Identity-AD-1;AD identities on user-level must be disabled if inactive more than;90 days;Monthly;Security;"Decommisioned users with high risc status like top-mgmt
End-users on leave due to maternity";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;AD;KPI-Identity-AD;1
Identity - Legacy;Identity;Legacy;Active Directory (IT);Yes;Exist Already;IT;KPI-Identity-AD-2;AD identities on admin-levels must be disabled, if inactive more than;60 days;Monthly;Security;"Break-class service accounts
Tier-0 admin accounts";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;AD;KPI-Identity-AD;2
Identity - Legacy;Identity;Legacy;Active Directory (IT);Yes;Exist Already;IT;KPI-Identity-AD-3;AD identities on user-level must be deleted if inactive more than;180 days;Monthly;Security;"Decommisioned users with high risc status like top-mgmt
End-users on leave due to maternity";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;AD;KPI-Identity-AD;3
Identity - Legacy;Identity;Legacy;Active Directory (IT);Yes;Exist Already;IT;KPI-Identity-AD-4;AD identities on admin-levels must be deleted, if inactive more than;180 days;Monthly;Security;"Break-class service accounts
Tier-0 admin accounts";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;AD;KPI-Identity-AD;4
Identity - Entra (Cloud);Identity;Entra (Cloud);Cloud Identity;Yes;Exist Already;IT;KPI-Identity-CloudIdentity-1;Cloud-only identities on user-level must be disabled if inactive more than;90 days;Monthly;Security;"Decommisioned users with high risc status like top-mgmt
End-users on leave due to maternity";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;CloudIdentity;KPI-Identity-CloudIdentity;1
Identity - Entra (Cloud);Identity;Entra (Cloud);Cloud Identity;Yes;Exist Already;IT;KPI-Identity-CloudIdentity-2;Cloud-only identities on admin-levels must be disabled, if inactive more than;60 days;Monthly;Security;"Break-class service accounts
Tier-0 admin accounts";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;CloudIdentity;KPI-Identity-CloudIdentity;2
Identity - Entra (Cloud);Identity;Entra (Cloud);Cloud Identity;Yes;Exist Already;IT;KPI-Identity-CloudIdentity-3;Cloud-only identities on user-level must be deleted if inactive more than;180 days;Monthly;Security;"Decommisioned users with high risc status like top-mgmt
End-users on leave due to maternity";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;CloudIdentity;KPI-Identity-CloudIdentity;3
Identity - Entra (Cloud);Identity;Entra (Cloud);Cloud Identity;Yes;Exist Already;IT;KPI-Identity-CloudIdentity-4;Cloud-only identities on admin-levels must be deleted, if inactive more than;180 days;Monthly;Security;"Break-class service accounts
Tier-0 admin accounts";Low;"Script must be developed.
Script must be automated for daily run";;Phase 0 Minimum Baseline;"Automation jobs must be validated
Exceptions must be evaluated for any adjustments";1;Monthly;Automation script must be built that delivers the required automation;CloudIdentity;KPI-Identity-CloudIdentity;4
Identity - Development;Identity;Development;Application/Service Identity (Azure);Yes;Exist Already;IT;KPI-Identity-AzKV-1;Percentage of secrets, certificates, and keys stored in Azure KeyVaults versus other less secure storage mechanisms;>98% compliance;Monthly;Security;;Medium;Code review process as part of deployment;"Do we have control of all dev-reposities?
Do we have any central solution to check the code like defender for cloud ?";Phase 0 Minimum Baseline;Secrets and Certificates Rotation: Regularly rotate secrets and certificates according to the organization's policy to minimize risks associated with stale credentials;1;Monthly;Defender for Cloud must be enabled;AzKV;KPI-Identity-AzKV;1
Identity - Development;Identity;Development;Application/Service Identity (Azure);Yes;Exist Already;IT;KPI-Identity-AzKV-2;Percentage of Key Vaults configured with backup and recovery options (e.g., soft delete and purge protection);100% of Key Vaults configured for recovery readiness.;Monthly;Security;;Low;"Azure Policy
Defender for Cloud built-in view";;Phase 0 Minimum Baseline;Defender for Cloud Security Recommendations must be evaluated to verify, that Azure Keyvault is protected and used according to best practice - and identities are stored correctly in keyvault;1;Monthly;Defender for Cloud must be enabled;AzKV;KPI-Identity-AzKV;2
